alg	i	diff	solved	time	mem
Dancing Links	19	easy	True	0.0143430233	362.623046875
Genetic Algorithm	19	easy	True	0.8413643837	190.4072265625
Simulated Annealing	19	easy	True	0.1987571716	8.029296875
Depth-first search	20	medium	True	0.0338580608	917.2265625
Depth-first with AC3	20	medium	True	0.0057239532	219.40625
Dancing Links	20	medium	True	0.0134408474	362.623046875
Genetic Algorithm	20	medium	True	1.5392799377	192.9619140625
Simulated Annealing	20	medium	True	0.8352019787	8.21875
Depth-first search	21	medium	True	0.0249121189	1067.0
Depth-first with AC3	21	medium	True	0.0071861744	222.9609375
Dancing Links	21	medium	True	0.0148501396	362.623046875
Genetic Algorithm	21	medium	True	12.3849489689	384.6337890625
Simulated Annealing	21	medium	True	1.2201948166	8.6982421875
Depth-first search	22	medium	True	0.0310688019	848.642578125
Depth-first with AC3	22	medium	True	0.0066592693	216.9140625
Dancing Links	22	medium	True	0.0140721798	362.623046875
Genetic Algorithm	22	medium	True	5.6239778996	381.720703125
Simulated Annealing	22	medium	True	0.4650609493	8.251953125
Depth-first search	23	medium	True	0.0231432915	951.015625
Depth-first with AC3	23	medium	True	0.0066359043	220.1171875
Dancing Links	23	medium	True	0.0140159130	362.623046875
Genetic Algorithm	23	medium	True	3.1779029369	192.6728515625
Simulated Annealing	23	medium	True	1.1258313656	8.5302734375
Depth-first search	24	medium	True	0.0199949741	808.1875
Depth-first with AC3	24	medium	True	0.0056109428	216.203125
Dancing Links	24	medium	True	0.0133228302	362.623046875
Genetic Algorithm	24	medium	True	2.3619067669	192.5791015625
Simulated Annealing	24	medium	True	1.0122308731	8.4560546875
Depth-first search	25	medium	True	0.0819771290	979.265625
Depth-first with AC3	25	medium	True	0.0085120201	220.828125
Dancing Links	25	medium	True	0.0144467354	362.623046875
Genetic Algorithm	25	medium	True	8.2688629627	382.119140625
Simulated Annealing	25	medium	True	3.5835628510	8.326171875
Depth-first search	26	medium	True	0.0217151642	796.75
Depth-first with AC3	26	medium	True	0.0053601265	215.4921875
Dancing Links	26	medium	True	0.0136260986	362.623046875
Genetic Algorithm	26	medium	True	2.2694277763	379.314453125
Simulated Annealing	26	medium	True	0.6522812843	8.5048828125
Depth-first search	27	medium	True	0.0230259895	909.7734375
Depth-first with AC3	27	medium	True	0.0090408325	219.40625
Dancing Links	27	medium	True	0.0165481567	362.623046875
Genetic Algorithm	27	medium	True	11.2400300503	382.189453125
Simulated Annealing	27	medium	True	2.5723211765	8.40625
Depth-first search	28	medium	True	0.2558410168	874.25
Depth-first with AC3	28	medium	True	0.0058319569	218.6953125
Dancing Links	28	medium	True	0.0135488510	362.623046875
Genetic Algorithm	28	medium	True	4.1090972424	381.111328125
Simulated Annealing	28	medium	True	1.1353178024	8.2353515625
Depth-first search	29	medium	True	0.1031229496	1016.390625
Depth-first with AC3	29	medium	True	0.0065472126	222.25
Dancing Links	29	medium	True	0.0139510632	362.623046875
Genetic Algorithm	29	medium	True	9.6839880943	381.962890625
Simulated Annealing	29	medium	True	2.4427487850	8.57421875
Depth-first search	30	medium	True	0.0172598362	814.96875
Depth-first with AC3	30	medium	True	0.0060288906	216.203125
Dancing Links	30	medium	True	0.0134608746	362.623046875
Genetic Algorithm	30	medium	True	1.2618417740	192.6494140625
Simulated Annealing	30	medium	True	0.9467341900	8.4091796875
Depth-first search	31	medium	True	0.0242497921	959.4296875
Depth-first with AC3	31	medium	True	0.0064899921	220.828125
Dancing Links	31	medium	True	0.0139231682	362.623046875
Genetic Algorithm	31	medium	True	1.9672672749	192.6494140625
Simulated Annealing	31	medium	True	1.6397418976	8.419921875
Depth-first search	32	medium	True	0.0405318737	924.2109375
Depth-first with AC3	32	medium	True	0.0055849552	219.40625
Dancing Links	32	medium	True	0.0143041611	362.623046875
Genetic Algorithm	32	medium	True	3.3950829506	379.494140625
Simulated Annealing	32	medium	True	1.0332970619	8.3125
Depth-first search	33	medium	True	0.0349159241	965.4296875
Depth-first with AC3	33	medium	True	0.0073997974	220.828125
Dancing Links	33	medium	True	0.0134377480	362.623046875
Genetic Algorithm	33	medium	False	31.9582142830	382.212890625
Simulated Annealing	33	medium	True	20.4555757046	8.513671875
Depth-first search	34	medium	True	0.0304589272	924.8984375
Depth-first with AC3	34	medium	True	0.0078029633	219.40625
Dancing Links	34	medium	True	0.0143620968	362.623046875
Genetic Algorithm	34	medium	True	10.7503390312	382.189453125
Simulated Annealing	34	medium	True	0.2668430805	8.265625
Depth-first search	35	medium	True	0.0544068813	1006.21875
Depth-first with AC3	35	medium	True	0.0067467690	221.5390625
Dancing Links	35	medium	True	0.0137641430	362.623046875
Genetic Algorithm	35	medium	True	10.3480558395	382.212890625
Simulated Annealing	35	medium	True	5.1390106678	8.5908203125
Depth-first search	36	medium	True	0.0333878994	908.3671875
Depth-first with AC3	36	medium	True	0.0063579082	219.40625
Dancing Links	36	medium	True	0.0136930943	362.623046875
Genetic Algorithm	36	medium	True	2.8059170246	379.775390625
Simulated Annealing	36	medium	True	0.9876806736	8.3125
Depth-first search	37	medium	True	0.0479040146	927.0625
